ADM1_EN,ADM2_EN,Shape_Area,Year,Month,Date,Rainfall_mm,Rainfall_Anomaly_mm,Rainfall_Anomaly_Percent
Kiambu,Limuru,0.0231553754199,2023.0,10.0,2023-10,63.89981732371731,-7.480866396156411,-10.503554436609924
Kiambu,Ruiru,0.0124421280679,2023.0,10.0,2023-10,41.78016908770921,-10.19859992540986,-19.8522954513636
Kiambu,Thika Town,0.0178033031507,2023.0,10.0,2023-10,66.45984363471061,-1.6371341030653035,-3.071120468711118
Machakos,Kangundo,0.013896319438,2023.0,10.0,2023-10,64.78593847405197,-8.648031351587004,-11.877980285595504
Machakos,Kathiani,0.0167415041685,2023.0,10.0,2023-10,57.40309031939294,-7.218896416836355,-10.964053336947511
Machakos,Machakos Town,0.0615270519301,2023.0,10.0,2023-10,45.54839648039936,-2.079019793982132,-4.305717910728391
Machakos,Masinga,0.11427469357,2023.0,10.0,2023-10,67.61265481291055,-4.869019653977795,-7.52426123305363
Machakos,Matungulu,0.0472449879416,2023.0,10.0,2023-10,57.78707775044992,-7.622966524490455,-11.581061683242345
Machakos,Mavoko,0.0684719511619,2023.0,10.0,2023-10,40.319255176404496,-5.656907409574922,-12.191528137898036
Machakos,Mwala,0.0827962943547,2023.0,10.0,2023-10,53.31482275917509,-4.090210240357789,-6.443744973500263
Machakos,Yatta,0.0862109028544,2023.0,10.0,2023-10,49.77138261542508,-9.845399749085884,-15.593396973623292
Nairobi,Dagoretti,0.00198642271282,2023.0,10.0,2023-10,66.76412907303104,-4.090092321661054,-5.832489654562926
Nairobi,Embakasi Central,0.000664901959297,2023.0,10.0,2023-10,45.43076471634853,-6.366614118067903,-12.285099212926504
Nairobi,Embakasi East,0.00697580217167,2023.0,10.0,2023-10,48.20108299926515,-6.18273728874652,-11.451328279904974
Nairobi,Embakasi North,0.000441181256097,2023.0,10.0,2023-10,44.05336444161155,-12.641455324770002,-22.298377496072263
Nairobi,Embakasi South,0.00142609820487,2023.0,10.0,2023-10,49.59831650522021,-6.822519815239037,-12.068716872031464
Nairobi,Embakasi West,0.000793166442342,2023.0,10.0,2023-10,43.441578681652366,-6.003235290517338,-12.01243774511238
Nairobi,Kamukunji,0.000718135459802,2023.0,10.0,2023-10,43.37724113464356,-5.447186711159617,-11.15668314304239
Nairobi,Kasarani,0.0110736011415,2023.0,10.0,2023-10,41.340198856955375,-9.091689342318633,-17.896668234662517
Nairobi,Kibra,0.00100197842996,2023.0,10.0,2023-10,55.30730292153738,-6.890363721921504,-11.07381096604028
Nairobi,Kilimani,0.00238546350977,2023.0,10.0,2023-10,53.74471827321405,-6.36270408658737,-10.610616745258628
Nairobi,Langata,0.0170497156745,2023.0,10.0,2023-10,56.495936363095,-7.046034488253783,-11.473454255583176
Nairobi,Makadara,0.000974908477702,2023.0,10.0,2023-10,44.53645979644906,-5.660442758806006,-11.264437210122008
Nairobi,Mathare,0.000235884309461,2023.0,10.0,2023-10,43.69088667631149,-8.157923535528507,-15.3284868281336
Nairobi,Roysambu,0.00390887981589,2023.0,10.0,2023-10,48.52065990332401,-12.155864091856524,-20.14177185373211
Nairobi,Ruaraka,0.000583416833502,2023.0,10.0,2023-10,44.19102416167389,-12.480449823035656,-21.98082243408986
Nairobi,Starehe,0.00136813789598,2023.0,10.0,2023-10,47.603517648848616,-6.020955922697816,-11.224834334596636
Nairobi,Westlands,0.00590790301496,2023.0,10.0,2023-10,53.20247309319925,-13.600007188836566,-20.280942691125443
Turkana,Loima,0.792863767753,2023.0,10.0,2023-10,43.563690194263394,14.078565897045245,122.00533165278092
Turkana,Turkana Central,0.538281501213,2023.0,10.0,2023-10,38.36618124664226,21.265081423786743,288.0504838515888
Turkana,Turkana East,0.909087463502,2023.0,10.0,2023-10,10.974728709460887,2.5634065474663763,105.26888570324572
Turkana,Turkana North,1.66897152383,2023.0,10.0,2023-10,51.65620366192858,18.761137065890647,76.5087402856983
Turkana,Turkana South,0.603285539944,2023.0,10.0,2023-10,12.743048652393174,0.1700198571865226,76.28999228105799
Turkana,Turkana West,1.19593592043,2023.0,10.0,2023-10,54.09025593582327,20.417613407402108,81.34801952880638
Kiambu,Gatundu North,0.0190562071078,2023.0,11.0,2023-11,390.32519348577694,196.72955101069127,101.73471155618924
Kiambu,Gatundu South,0.018013492523,2023.0,11.0,2023-11,336.2760064184138,162.1132584685298,93.14159722351027
Kiambu,Githunguri,0.0140557399999,2023.0,11.0,2023-11,294.5863838034434,128.7939009963276,77.7341156443973
Kiambu,Juja,0.0303444523402,2023.0,11.0,2023-11,299.31611175067644,141.29941249392692,89.30965801840854
Kiambu,Kabete,0.00456838148631,2023.0,11.0,2023-11,246.0983203831153,81.64096745430915,49.37474026394321
Kiambu,Kiambaa,0.00720464174127,2023.0,11.0,2023-11,253.01487751744727,92.25541249508078,56.68739434621735
Kiambu,Kiambu,0.00796244668767,2023.0,11.0,2023-11,247.71247046631163,100.5159411832222,68.38651414005403
Kiambu,Kikuyu,0.0141641490709,2023.0,11.0,2023-11,227.15140851267748,80.3284155217442,55.6743460696603
Kiambu,Lari,0.037858207576,2023.0,11.0,2023-11,323.265612500652,140.82527752809537,76.14783502489269
Kiambu,Limuru,0.0231553754199,2023.0,11.0,2023-11,277.6063302257972,114.09540306410484,69.72790214182629
Kiambu,Ruiru,0.0124421280679,2023.0,11.0,2023-11,275.9164310797137,120.50507581733932,77.45853570056669
Kiambu,Thika Town,0.0178033031507,2023.0,11.0,2023-11,350.4636566876516,166.89654874255405,91.293507710483
Machakos,Kangundo,0.013896319438,2023.0,11.0,2023-11,421.7621752790576,194.0868463151101,85.06393137247527
Machakos,Kathiani,0.0167415041685,2023.0,11.0,2023-11,404.48333920267953,186.3382997352884,85.3492911870474
Machakos,Machakos Town,0.0615270519301,2023.0,11.0,2023-11,364.4253922526992,175.45309202286373,92.9569615778325
Machakos,Masinga,0.11427469357,2023.0,11.0,2023-11,424.6793221817782,214.2538820051161,100.98541536348104
Machakos,Matungulu,0.0472449879416,2023.0,11.0,2023-11,371.71426608807855,163.60043231069076,78.488599042886
Machakos,Mavoko,0.0684719511619,2023.0,11.0,2023-11,287.8602669665374,129.51178696695965,81.12929606168109
Machakos,Mwala,0.0827962943547,2023.0,11.0,2023-11,383.2633451701441,177.7263033618996,86.50206103061592
