S/No.,WRUA_NAME,SRO,Area,status,Basin (B),B_code,Areakm2,CentroidX,CentroidY,Subbasin
149,Sharaha,Lower Tana,300.3720093, ,TCA,20,300.42,40.473909,-1.856846,4KB
150,Mansiguda,Lower Tana,468.9580078, ,TCA,20,469.33,38.974939,-0.25656,4GB
151,Al Rahim Upper,Lower Tana,474.3190002, ,TCA,20,474.68,38.708326,-0.664748,4GD
152,Uluma,Lower Tana,92.08209991, ,TCA,20,92.14,39.737265,-0.534222,4GC
153,Anaam,Lower Tana,93.62940216, ,TCA,20,93.69,39.697711,-0.491496,4GC
154,upper madah marub,Lower Tana,509.9909973, ,TCA,20,510.22,40.062582,-0.780318,4KB
155,Kiwanja yarey,Lower Tana,371.0109863, ,TCA,20,371.03,40.568828,-0.207582,4JA
156,Amuma,Lower Tana,2059.580078, ,TCA,20,2059.21,40.81407,-0.20229,4JA
157,upper Galma Galla,Lower Tana,2097.060059, ,TCA,20,2097.13,40.581882,-0.869822,4KA
158,Garsen,Lower Tana,427.4710083, ,TCA,20,427.68,40.020524,-2.223181,4GG
159,Wenje(Kigaruni),Lower Tana,1058.089966, ,TCA,20,1058.88,39.393459,-1.650029,4GC
160,Kansarokana,Lower Tana,467.6799927, ,TCA,20,468.05,38.997907,-1.228068,4GE
161,Kiwe,Thiba,122.038002,Formed,TCA,20,122.02,37.281199,-0.578268,4DA
162,Itabua,Thiba,222.9360046,Not Formed,TCA,20,222.97,37.544496,-0.606903,4DD
163,Lower Rupigazi,Thiba,127.2669983,Formed,TCA,20,127.28,37.474273,-0.529657,4DC
164,Riachina,Thiba,111.9420013,Not Formed,TCA,20,111.99,37.857196,-0.743599,4ED
165,Gichichie,Thiba,106.3330002,Not Formed,TCA,20,106.37,37.768444,-0.742497,4ED
166,Lower Ena,Thiba,210.3569946,Formed,TCA,20,210.44,37.823543,-0.480935,4EC
167,Lower Nyamindi,Thiba,156.9850006,Formed,TCA,20,156.99,37.423055,-0.613586,4DB
168,Thiba Kaburu,Thiba,287.5429993,Not Formed,TCA,20,287.6,37.583748,-0.771248,4DD
169,Ngariira,Thiba,98.64649963,Formed,TCA,20,98.68,37.721318,-0.763114,4ED
170,Rwamuthambi,Thiba,186.1000061,Formed,TCA,20,186.07,37.218556,-0.546831,4BC
171,Kiriiri,Thiba,106.9179993,Formed,TCA,20,106.94,37.657784,-0.634836,4ED
172,Itimbogo,Thiba,275.1199951,Formed,TCA,20,275.18,37.621002,-0.50218,4EC
173,Upper Nyamindi,Thiba,264.9859924,Formed,TCA,20,264.98,37.356836,-0.375566,4DA
174,Upper Rupigazi,Thiba,214.1000061,Formed,TCA,20,214.11,37.405103,-0.344772,4DC
175,Upper Thiba,Thiba,317.6870117,Formed,TCA,20,317.66,37.30221,-0.402674,4DA
