County,SubCounty,panel_date,Year,Month,Population_Density_per_SqKm,Total_Population,total_abstraction_m3_per_day,wrua_count,Mean_NDVI,Rainfall_mm,Rainfall_Anomaly_mm,Rainfall_Anomaly_Percent,conflict_onset,conflict_persistence,conflict_severity_weighted
Machakos,Masinga,2023-06-01,2023,6,106,148522,40.0,7.0,0.4188299286986777,6.969263108549358,1.3205086097905558,-5.962519349967118,False,1.16108248633533,0.12141037569144045
Machakos,Masinga,2023-07-01,2023,7,106,148522,40.0,7.0,0.31442905611478,6.982327490813845,-1.2474002539781588,-28.56459916163832,False,1.1172212449521752,0.11682395753657752
Machakos,Masinga,2023-08-01,2023,8,106,148522,40.0,7.0,0.3121480996713321,3.326549906776883,-3.1672836701428606,-71.57529938415236,False,1.0736379001800858,0.11226659806819887
Machakos,Masinga,2023-09-01,2023,9,106,148522,40.0,7.0,0.2932364067435283,1.497583103675261,-1.3424748993675124,-82.52495478860091,False,1.0317547629095143,0.10788702341178841
Machakos,Masinga,2023-10-01,2023,10,106,148522,40.0,7.0,0.2717805559029498,67.61265481291055,-4.869019653977795,-7.52426123305363,False,0.9927790267006018,0.10381146561837948
Machakos,Masinga,2023-11-01,2023,11,106,148522,40.0,7.0,0.4630941033142211,424.6793221817782,214.2538820051161,100.98541536348104,False,0.954050233456929,0.09976172979587872
Machakos,Masinga,2023-12-01,2023,12,106,148522,40.0,7.0,0.6106197127913058,42.50871747210413,-44.754021021747896,-51.08275819092653,False,0.9180098762266812,0.09599311441938738
Machakos,Masinga,2024-01-01,2024,1,106,148522,40.0,7.0,0.5859769377583613,58.95866966016406,31.17408261416472,109.74537960655996,False,0.8821978639502022,0.09224837628413482
Machakos,Masinga,2024-02-01,2024,2,106,148522,40.0,7.0,0.4723548701575078,36.025168271936536,14.619583284771776,75.48935401619718,False,0.8477828957105064,0.08864972220695692
Machakos,Masinga,2024-03-01,2024,3,106,148522,40.0,7.0,0.4331784984659014,75.04128734249817,-13.382694718099104,-15.679261947103369,False,0.8168046934653554,0.08541043885104302
Machakos,Masinga,2024-04-01,2024,4,106,148522,40.0,7.0,0.630103447615696,528.9684177867924,311.21155140615633,142.9104105139332,True,1.784940744648051,3.88277970333458
Machakos,Masinga,2024-05-01,2024,5,106,148522,40.0,7.0,0.6409271496368973,175.60350904928683,93.5372558003644,116.40539165420807,True,1.6461874131901344,3.4650177218524894
Machakos,Masinga,2024-06-01,2024,6,106,148522,40.0,7.0,0.5930840034046692,4.581670769962502,-1.0670837287962998,-33.8636123171838,False,2.40737324066439,3.0809213620451064
Machakos,Masinga,2024-07-01,2024,7,106,148522,40.0,7.0,0.4913324282572822,15.22316028363074,6.993432538838736,130.47436879581164,False,2.196495253940354,2.750202251580479
Machakos,Masinga,2024-08-01,2024,8,106,148522,40.0,7.0,0.3854955372434905,6.85325849061739,0.3594249136976474,143.08569418672613,False,2.000677017423831,2.446103498280055
Machakos,Masinga,2024-09-01,2024,9,106,148522,40.0,7.0,0.3600217810117039,1.7890478536600598,-1.0510101493827144,-70.44314167012824,False,1.8248903773827996,2.1760141319415185
Machakos,Masinga,2024-10-01,2024,10,106,148522,40.0,7.0,0.3576462395791392,25.51127781215798,-46.97039665473038,-65.18087965971736,False,1.6717956451934737,1.9434185906361932
Machakos,Masinga,2024-11-01,2024,11,106,148522,40.0,7.0,0.5702335470122898,253.9431417593336,43.51770158267136,20.990871983144626,False,1.5293005400362751,1.7295054656979534
Machakos,Masinga,2024-12-01,2024,12,106,148522,40.0,7.0,0.5789949897055561,71.81707651572214,-15.445661978129923,-17.53984283415325,False,1.4049904037365915,1.545262307430953
Machakos,Masinga,2025-01-01,2025,1,106,148522,40.0,7.0,0.4880506754721282,35.208850846454766,7.424263800455415,27.185442585158384,False,1.2890815540299165,1.3757925654282475
Machakos,Masinga,2025-02-01,2025,2,106,148522,40.0,7.0,0.4293259348476954,3.969459225092871,-17.436125762071892,-80.95994076635033,False,1.1845696079068886,1.2252203755896423
Machakos,Masinga,2025-03-01,2025,3,106,148522,40.0,7.0,0.4642933751634558,196.619960399744,108.19597833914662,123.85074801605788,False,1.0989515013073614,1.1036944298538647
Machakos,Masinga,2025-04-01,2025,4,106,148522,40.0,7.0,0.6247840665352412,194.02840862660528,-23.72845775403085,-11.478569454202349,False,1.0128770044761395,0.9834309804490221
Machakos,Masinga,2025-05-01,2025,5,106,148522,40.0,7.0,0.5806180277425722,84.315803104589,2.2495498556666,3.762270364379616,False,0.9374141573000044,0.8798017598011664
Machakos,Masinga,2025-06-01,2025,6,106,148522,40.0,7.0,0.4499013975688974,5.943893396299349,0.2951388975405473,5.05534957730225,False,0.8666860394589456,0.7844359232288327
Machakos,Masinga,2025-07-01,2025,7,106,148522,40.0,7.0,0.2636771005733212,5.743400298419423,-2.486327446372581,-5.915193654396476,False,0.8045335960486935,0.7022413445277023
Machakos,Masinga,2025-08-01,2025,8,106,148522,40.0,7.0,0.3368058781747933,11.138953211069769,4.645119634150028,66.73305041639222,False,0.7461404282936187,0.6265818586701027
Machakos,Masinga,2025-09-01,2025,9,106,148522,40.0,7.0,0.3155928701761134,1.58577588634808,-1.2542821166946934,-81.6629181822142,False,0.6930642827757283,0.5593048906052359
Machakos,Masinga,2025-10-01,2025,10,106,148522,40.0,7.0,0.3146256059141112,123.19169945741623,50.71002499052791,70.70569570913001,False,0.6462448479198796,0.5012949791613821
Machakos,Masinga,2025-11-01,2025,11,106,148522,40.0,7.0,0.4861863401305969,78.41786035567661,-132.00757982098554,-62.59262782476923,False,0.6020835549717636,0.447872749031875
Machakos,Masinga,2025-12-01,2025,12,106,148522,40.0,7.0,0.4959460565545507,119.3899988865588,32.12726039270677,36.206847436312295,False,0.5630216143460067,0.40179346200998595
Machakos,Masinga,2026-01-01,2026,1,106,148522,40.0,7.0,,,,,False,0.5260742850165047,0.3593427795332194
Machakos,Matungulu,2004-01-01,2004,1,278,161557,10898.0,5.0,0.5847148489906545,45.798459068984734,4.462555925232614,10.27684797054144,False,0.1139720732782562,0.07899473404965313
Machakos,Matungulu,2004-02-01,2004,2,278,161557,10898.0,5.0,0.5774504576269135,50.0033481314084,14.71424917432941,41.80184833895794,False,0.10952596720345752,0.07591311100961429
Machakos,Matungulu,2004-03-01,2004,3,278,161557,10898.0,5.0,0.435785192016167,55.86226801164111,-55.38956521431356,-49.6529715308312,True,0.10552386055529148,0.07313922666043363
Machakos,Matungulu,2004-04-01,2004,4,278,161557,10898.0,5.0,0.576011916364506,274.2974772915279,56.122924436520336,25.90954446165068,False,1.0798223854480826,2.773379220033059
Machakos,Matungulu,2004-05-01,2004,5,278,161557,10898.0,5.0,0.6352221307680108,65.15526684594163,-15.881943037932288,-19.416533470879312,False,1.0390308388900424,2.6686115942627016
Machakos,Matungulu,2004-06-01,2004,6,278,161557,10898.0,5.0,0.5309158285492034,3.208772952149788,-6.658068919658019,-72.18243921798937,False,0.9984977399315488,2.5645077565483327
Machakos,Matungulu,2004-07-01,2004,7,278,161557,10898.0,5.0,0.4174962628530954,1.0942308573845925,-5.403537406246825,-91.272123296985,False,0.9607783264470672,2.4676304932507334
Machakos,Matungulu,2004-08-01,2004,8,278,161557,10898.0,5.0,0.3336864761011242,0.4611687218627391,-6.228334441195878,-95.66978113198113,False,0.9232978961023273,2.3713670261502027
Machakos,Matungulu,2004-09-01,2004,9,278,161557,10898.0,5.0,0.3168396029183291,15.541103793837022,10.439850144296988,305.2383364043947,False,0.8872795955956134,2.278858843774658
Machakos,Matungulu,2004-10-01,2004,10,278,161557,10898.0,5.0,0.3595042055750017,55.63917781920631,-9.770866455734089,-14.298713091704212,False,0.8537615768718966,2.1927723003970065
Machakos,Matungulu,2004-11-01,2004,11,278,161557,10898.0,5.0,0.5607758009221339,206.63058262274168,-1.483251154646045,-0.6250854616506961,False,0.820455922037555,2.1072311852358987
Machakos,Matungulu,2004-12-01,2004,12,278,161557,10898.0,5.0,0.6530580116736519,84.37781865203937,-16.801096715849688,-17.074187973900305,False,0.7894622453054997,2.0276280762806835
Machakos,Matungulu,2005-01-01,2005,1,278,161557,10898.0,5.0,0.5864156582212299,38.27167202105189,-3.064231122700248,-7.754442236284611,True,1.7586649387047197,1.9485293177157297
