Record_ID,geo_county,geo_subcounty
KEN-MCK-179,Machakos,Machakos Town
KEN-MCK-180,Machakos,Mwala
KEN-MCK-181,Machakos,Mwala
KEN-MCK-182,Machakos,Kathiani
KEN-MCK-183,Machakos,Mavoko
KEN-MCK-185,Machakos,Mavoko
KEN-MCK-186,Machakos,Mavoko
KEN-NBI-402,Machakos,Mavoko
KEN-MCK-188,Machakos,Mavoko
KEN-MCK-189,Machakos,Machakos Town
KEN-MCK-190,Machakos,Mavoko
KEN-MCK-191,Machakos,Machakos Town
KEN-TRK-225,Machakos,Mavoko
KEN-MCK-037,Machakos,Kathiani
KEN-MCK-038,Machakos,Mavoko
KEN-MCK-039,Machakos,Mavoko
KEN-MCK-040,Machakos,Mavoko
KEN-MCK-041,Machakos,Mwala
KEN-MCK-042,Machakos,Mavoko
KEN-MCK-192,Machakos,Mavoko
KEN-MCK-193,Machakos,Mavoko
KEN-MCK-194,Machakos,Mavoko
KEN-MCK-195,Machakos,Kathiani
KEN-MCK-197,Machakos,Masinga
LWC-2023-004,Machakos,Mavoko
LWC-2025-008,Machakos,Mavoko
LWC-1999-009,Nairobi,Embakasi East
KEN-MCK-198,Machakos,Mavoko
KEN-MCK-199,Machakos,Machakos Town
LWC-2002-017,Machakos,Mavoko
LWC-2026-023,Machakos,Mavoko
LWC-2023-024,Machakos,Mavoko
KEN-MCK-200,Machakos,Mavoko
KEN-MCK-201,Machakos,Mavoko
KEN-MCK-202,Machakos,Mavoko
LWC-2021-041,Nairobi,Embakasi South
LWC-2023-043,Machakos,Mavoko
LWC-2025-046,Machakos,Mavoko
LWC-2019-051,Machakos,Mavoko
KEN-NBI-456,Nairobi,Embakasi South
KEN-MCK-203,Machakos,Mavoko
KEN-MCK-204,Machakos,Mavoko
LWC-2025-052,Machakos,Mavoko
LWC-2026-053,Machakos,Mavoko
LWC-2025-054,Machakos,Mavoko
KE_LWC_091,Machakos,Mavoko
KE_LWC_094,Nairobi,Embakasi East
KE_LWC_097,Machakos,Mavoko
KEN-MCK-205,Machakos,Kathiani
KEN-MCK-206,Machakos,Mavoko
KE_LWC_108,Machakos,Mavoko
KE_LWC_112,Machakos,Mavoko
KEN-NBI-464,Machakos,Mavoko
KEN-MCK-207,Machakos,Mavoko
KEN-MCK-208,Machakos,Yatta
KEN-MCK-209,Machakos,Mavoko
KE_LWC_122,Machakos,Mavoko
KE_LWC_127,Machakos,Mavoko
KE_LWC_129,Machakos,Mavoko
KE_LWC_140,Machakos,Mavoko
KEN-MCK-210,Machakos,Mavoko
KEN-MCK-211,Machakos,Masinga
KEN-MCK-212,Machakos,Mavoko
KE_LWC_143,Machakos,Mavoko
KE_LWC_149,Nairobi,Langata
KE_LWC_156,Machakos,Yatta
KE_LWC_157,Machakos,Mavoko
KE_LWC_162,Machakos,Mavoko
KE_LWC_172,Nairobi,Langata
KE_LWC_179,Machakos,Mavoko
KE_LWC_184,Machakos,Mavoko
KE_LWC_188,Machakos,Yatta
KE_LWC_197,Machakos,Mavoko
