County,SubCounty,panel_date,Year,Month,Population_Density_per_SqKm,Total_Population,total_abstraction_m3_per_day,wrua_count,Mean_NDVI,Rainfall_mm,Rainfall_Anomaly_mm,Rainfall_Anomaly_Percent,conflict_onset,conflict_persistence,conflict_severity_weighted
Turkana,Loima,2011-10-01,2011,10,12,107795,3419.0088,6.0,0.2530696211961991,23.23467852581764,-6.250445771400541,40.70140392549612,False,0.561438692965671,0.5290855248579313
Turkana,Loima,2011-11-01,2011,11,12,107795,3419.0088,6.0,0.3307329981186722,78.06502850375317,59.229920304469765,312.0867102971721,False,0.5360411447232316,0.5007651293503248
Turkana,Loima,2011-12-01,2011,12,12,107795,3419.0088,6.0,0.3515427141046933,7.861706286577142,-5.161468690287731,-41.72370326510615,False,0.5127817585627913,0.475234919055799
Turkana,Loima,2012-01-01,2012,1,12,107795,3419.0088,6.0,0.2725939571579197,1.0740616982199915,-2.648596758506573,-70.81553497563031,False,0.4900141346944936,0.4506231769406086
Turkana,Loima,2012-02-01,2012,2,12,107795,3419.0088,6.0,0.2163146136493096,4.210015713417034,-4.959307568545814,-60.57117715153367,False,0.4684456797954904,0.4276548720599947
Turkana,Loima,2012-03-01,2012,3,12,107795,3419.0088,6.0,0.2020411303444551,15.54570411937246,-23.708548051248368,-59.9580485043293,False,0.4492818108382361,0.4075310962898156
Turkana,Loima,2012-04-01,2012,4,12,107795,3419.0088,6.0,0.2500639306000555,83.35485094972702,19.33885856240733,30.74243901188609,False,0.4298083478359309,0.3873556391234322
Turkana,Loima,2012-05-01,2012,5,12,107795,3419.0088,6.0,0.3765102154876551,121.8176147543679,68.11585161992993,126.42384116548892,False,0.411895599324088,0.3690397574181725
Turkana,Loima,2012-06-01,2012,6,12,107795,3419.0088,6.0,0.3235980953925247,24.216731846386107,-3.894856408710912,-25.744952100835725,False,0.394288144995382,0.3512613545757587
Turkana,Loima,2012-07-01,2012,7,12,107795,3419.0088,6.0,0.3183456133286256,45.81534754131775,14.027606683832811,49.81585598541848,False,0.378068133927137,0.3350800275267308
Turkana,Loima,2012-08-01,2012,8,12,107795,3419.0088,6.0,0.3248616066884105,38.77874943502024,13.832397029070885,61.787487442998966,False,0.3621025383512409,0.3193344282344432
Turkana,Loima,2012-09-01,2012,9,12,107795,3419.0088,6.0,0.2800870403223765,9.071960710814492,-1.419753383286787,-57.49609328117111,False,0.3468967088392688,0.3045039612641179
Turkana,Loima,2012-10-01,2012,10,12,107795,3419.0088,6.0,0.2865506227489838,30.757298262211684,1.272173964993506,40.35330753393507,False,0.3328623307848155,0.2909576578842138
